airway,from_ident,to_ident,track_mag_fwd,track_mag_back,dist_nm,upper_limit,lower_limit,minimum_flight_altitude,lateral_limits,fl_series_fwd,fl_series_back,controlling_unit,airspace_class,route_usage,availability,remarks,aip_section,valid_from,source_url
A44,ROSAL,ALAGU,281,101,24.7,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,CDR 1 H24; ALTN RTE on ATC instructions MAX EXTD 4NM; continuation see AIP Spain,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
A44,ALAGU,ODPAK,281,100,15.0,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,CDR 1 H24; ALTN RTE on ATC instructions MAX EXTD 4NM,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
A44,ODPAK,GAIOS,288,108,30.5,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,CDR 1 H24; ALTN RTE on ATC instructions MAX EXTD 4NM,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
A44,GAIOS,ESP,288,108,31.6,FL195,FL095,,,Even(1),Odd(1),,C,RNAV 5,,CDR 1 H24; ALTN RTE on ATC instructions MAX EXTD 4NM,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
A44,ESP,BUSEN,283,103,39.0,FL195,FL095,,,Even(1),Odd(1),,C,RNAV 5,,CDR 1 H24; ALTN RTE on ATC instructions MAX EXTD 4NM,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,AMSEL,VFA,357,177,63.0,FL195,FL095,,,Even(1),Odd(1),,C,RNAV 5,,H24,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,VFA,XAPAS,3,183,35.0,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,H24,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,XAPAS,ELDUK,3,183,12.8,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,H24; CDR 1 H24 FL195/FL105; ALTN RTE on ATC instructions MAX EXTD 10NM,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,ELDUK,ODPAK,3,183,19.0,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,H24; CDR 1 H24 FL195/FL105; ALTN RTE on ATC instructions MAX EXTD 10NM,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,ODPAK,EVURA,2,182,32.2,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,H24; CDR 1 H24 FL195/FL105; ALTN RTE on ATC instructions MAX EXTD 10NM,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,EVURA,TAGUX,2,182,16.8,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,H24; CDR 1 H24 FL195/FL105; ALTN RTE on ATC instructions MAX EXTD 10NM,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,TAGUX,OLGAR,357,177,14.3,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,H24,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,OLGAR,NSA,4,184,22.9,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,H24,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
R72,NSA,VIS,3,183,69.5,FL195,FL105,,,Even(1),Odd(1),,C,RNAV 5,,H24,ENR 3.3.1 LISBOA - LOWER ROUTES,2026-03-19,https://ais.nav.pt/wp-content/uploads/AIS_Files/eAIP_Current/eAIP_Online/eAIP/html/eAIP/LP-ENR-3.3-en-PT.html?amdt=show
