Página,Nome antigo,Nome novo,Valor atual
1,Textbox5,cg_max_fwd_m,
1,Textbox1,wb_1,
1,Textbox10,wb_10,
1,Textbox11,wb_11,
1,Textbox12,wb_12,
1,Textbox13,wb_13,
1,Textbox2,wb_2,
1,Textbox3,wb_3,
1,Textbox4,wb_4,
1,Textbox6,wb_6,
1,Textbox7,wb_7,
1,Textbox8,wb_8,
1,Textbox9,wb_9,
2,Textbox22,aerodromo_departure,
2,Textbox16,cg_calculado_m,
2,Textbox18,data,
2,Textbox49,densidade_alt_ft,
2,Textbox63,descent_tempo,
2,Textbox53,elevacao_ft,
2,Textbox65,enroute_combustivel,
2,Textbox64,enroute_tempo,
2,Textbox45,lda_m,
2,Textbox41,ldr_m,
2,Textbox19,matricula,
2,Textbox17,mtow_kg,
2,Textbox14,outros_14,
2,Textbox15,outros_15,
2,Textbox20,outros_20,
2,Textbox21,outros_21,
2,Textbox24,outros_24,
2,Textbox25,outros_25,
2,Textbox26,outros_26,
2,Textbox27,outros_27,
2,Textbox28,outros_28,
2,Textbox29,outros_29,
2,Textbox30,outros_30,
2,Textbox31,outros_31,
2,Textbox32,outros_32,
2,Textbox33,outros_33,
2,Textbox34,outros_34,
2,Textbox35,outros_35,
2,Textbox36,outros_36,
2,Textbox37,outros_37,
2,Textbox38,outros_38,
2,Textbox40,outros_40,
2,Textbox42,outros_42,
2,Textbox43,outros_43,
2,Textbox44,outros_44,
2,Textbox46,outros_46,
2,Textbox48,outros_48,
2,Textbox54,outros_54,
2,Textbox55,outros_55,
2,Textbox56,outros_56,
2,Textbox57,outros_57,
2,Textbox50,pressao_alt_ft,
2,Textbox52,qnh_hpa,
2,Textbox39,roc_ft_min,
2,Textbox23,rwy_qfu,
2,Textbox60,start_taxi_combustivel,
2,Textbox59,start_taxi_tempo,
2,Textbox51,temperatura_c,
2,Textbox47,toda_todr_m,
2,Textbox66,total_ramp_combustivel,
2,Textbox61,trip_combustivel,
2,Textbox62,trip_tempo,
2,Textbox58,vento_graus_kts,
